lower,higher,webID
Ancyloscelis_sp,Operculina_hamiltonii,CN10
Aparatrigona_impunctata,Polygala_paniculata,CN09
Aparatrigona_impunctata,Byrsonima_chrysophylla,CN14
Apis_mellifera,Pterolepis_trichotoma,CN10
Apis_mellifera,Turnera_laciniata,CN06
Apis_mellifera,Chamaecrista_trichopoda,CN10
Apis_mellifera,Mesosphaerum_suaveolens,CN09
Apis_mellifera,Riencourtia_pedunculosa,CN13
Apis_mellifera,Mimosa_acutistipula,CN13
Apis_mellifera,Sida_urens,CN14
Apis_mellifera,Mesosphaerum_suaveolens,CN03
Apis_mellifera,Lepidaploa_arenaria,CN14
Apis_mellifera,Aeschynomene_americanavarglandulosa,CN04
Apis_mellifera,Aeschynomene_americanavarglandulosa,CN04
Apis_mellifera,Peixotoa_reticulata,CN09
Apis_mellifera,Cavalcantia_glomerata,CN09
Apis_mellifera,Borreria_sp,CN10
Apis_mellifera,Senegalia_multipinnata,CN10
Apis_mellifera,Manihot_tristis,CN10
Augochlora_Oxystoglossella_sp04,Polygala_paniculata,CN06
Augochloropsis_hebescens,Mesosphaerum_suaveolens,CN06
Cephalotrigona_femorata,Mimosa_acutistipula,CN13
Ceratina_Ceratinula_sp09,Polygala_paniculata,CN06
Ceratina_Ceratinula_sp10,Schultesia_benthamiana,CN06
Ceratina_Ceratinula_sp11,Polygala_paniculata,CN06
Ceratina_Crewella_sp08,Borreria_verticillata,CN06
Ceratina_Crewella_sp09,Stachytarpheta_cayennensis,CN06
Ceratina_Crewella_sp09,Stylosanthes_capitata,CN06
Ceratina_Crewella_sp10,Borreria_verticillata,CN06
Ceratina_Crewella_sp11,Stachytarpheta_cayennensis,CN06
Eufriesea_superba,Senna_quinquangulata,CN09
Euglossa_Euglossa_sp01,Fridericia_patellifera,CN01
Eulonchopria_limbella,Solanum_schlechtendalianum,CN05
Exaerete_frontalis,Caamembeca_spectabilis,CN07
Frieseomelitta_doederleini,Urochloa_decumbens,CN03
