	ITD	Socialidade	buzz	no_buzz
Ancyloscelis_sp	3.2	solitary	0	1
Aparatrigona_impunctata	1.575	social	0	1
Apis_mellifera	2.793939394	social	1	0
Augochlora_Augochlora_sp13	1.35	solitary	1	0
Augochlora_Augochlora_sp16	1.6	solitary	1	0
Augochlora_aurinasis	1.23	solitary	1	0
Augochlora_Oxystoglossella_sp03	1.3	solitary	1	0
Augochlora_Oxystoglossella_sp04	1.25	solitary	1	0
Augochlorella_sp	NA	solitary	1	0
Augochloropsis_hebescens	2.675	solitary	1	0
Centris_longimana	7	solitary	1	0
Cephalotrigona_capitata	2.33	social	0	1
Cephalotrigona_femorata	2.2	social	0	1
Ceratina_Ceratinula_sp09	0.8	solitary	0	1
Ceratina_Ceratinula_sp10	1.1	solitary	0	1
Ceratina_Ceratinula_sp11	0.9	solitary	0	1
Ceratina_Crewella_sp08	1.3	solitary	0	1
Ceratina_Crewella_sp09	1.3	solitary	0	1
Ceratina_Crewella_sp10	1.65	solitary	0	1
Ceratina_Crewella_sp11	1.2	solitary	0	1
Ceratina_Crewella_sp14	NA	solitary	0	1
Eufriesea_superba	5.85	solitary	1	0
Euglossa_Euglossa_sp01	3.391	solitary	1	0
Eulonchopria_limbella	NA	solitary	0	1
Exaerete_frontalis	6.092307692	solitary	0	1
Exomalopsis_analis	1.75	solitary	1	0
Exomalopsis_auropilosa	1.72	solitary	1	0
Frieseomelitta_doederleini	1.3	social	0	1
Frieseomelitta_flavicornis	1.3	social	0	1
Frieseomelitta_longipes	1.45	social	0	1
Frieseomelitta_portoi	0.95	social	0	1
Geotrigona_mattogrossensis	1.58	social	0	1
Geotrigona_subnigra	1.55	social	0	1
Megachile_Dactylomegachile_sp02	2.25	solitary	0	1
Melipona_amazonica	2.303846154	social	1	0
Melipona_flavolineata	2.714285714	social	1	0
Melipona_nebulosa	3.3	social	1	0
Melipona_puncticollis	2.655555556	social	1	0
Melipona_seminigrapernigra	2.94	social	1	0
Nannotrigona_punctata	1.3	social	0	1
Nannotrigona_schultzei	1.2	social	0	1
Neocorynura_tarpeia	1.5	solitary	1	0
Oxytrigona_ignis	1.4775	social	0	1
Paratetrapedia_leucostoma	2.0623	solitary	1	0
Paratetrapedia_testacea	1.6	solitary	1	0
Paratrigona_crassicornis	1.25	social	0	1
Partamona_ailyae	1.89	social	0	1
Partamona_vicina	1.564912281	social	0	1
Plebeia_fraterna	1.194444444	social	0	1
Plebeia_goeldiana	0.9	social	0	1
Plebeia_minima	0.9	social	0	1
Ptilotrigona_lurida	1.657042254	social	0	1
Scaptotrigona_nigrohirta	1.7	social	0	1
Scaptotrigona_polysticta	1.52	social	0	1
Scaptotrigona_postica	2.05	social	0	1
Tetragona_beebei	1.23	social	0	1
Tetragona_clavipes	1.30952381	social	0	1
Tetragona_dorsalis	1.2	social	0	1
Tetragona_goettei	1.2	social	0	1
Tetragona_truncata	1.2	social	0	1
Tetragonisca_angustula	0.976	social	0	1
Trigona_amalthea	1.472857143	social	0	1
Trigona_chanchamayoensis	1.309836066	social	0	1
Trigona_cilipes	1.7	social	0	1
Trigona_dimidiata	2	social	0	1
Trigona_guianae	1.35989011	social	0	1
Trigona_hypogea	1.405	social	0	1
Trigona_lacteipennis	1.45	social	0	1
Trigona_pallens	1.451785714	social	0	1
Trigona_recursa	1.373863636	social	0	1
Trigona_truculenta	2.5125	social	0	1
Trigona_williana	1.754722222	social	0	1
Xenochlora_nigrofemorata	2.45	solitary	0	1
Xylocopa_frontalis	8.15	solitary	1	0
