	x	y	w_con	ID	IE	H2
CN01	-6.175786	-50.409092	0.171956928	2.491493722	0.944084728	0.385451379
CN02	-6.173898	-50.377923	0.123061837	2.588573163	0.980870379	0.444122866
CN03	-6.148752	-50.42119	0.124881357	3.337268136	0.946377465	0.364888104
CN04	-6.145874	-50.439977	0.129573365	3.22154714	0.938136035	0.447576298
CN05	-6.137579	-50.452847	0.118381189	3.390978055	0.987475449	0.216102033
CN06	-6.171656	-50.352591	0.057846914	3.745648131	0.957470886	0.46187141
CN07	-6.20235	-50.343878	0.129312308	2.977994558	0.925166027	0.298216093
CN08	-6.215823	-50.317763	0.285764302	2.301091874	0.926027492	0.364849091
CN09	-6.244426	-50.315309	0.121994218	3.694735752	0.970597147	0.270475842
CN10	-6.284544	-50.336224	0.073823803	3.353578152	0.959122236	0.547514545
CN11	-6.14236	-50.174049	0.196583596	2.180839527	0.947126573	0.527997218
CN12	-6.161556	-50.166436	0.097886177	2.626164786	0.947188728	0.56177716
CN13	-6.184134	-50.142686	0.128847377	2.94627196	0.953164508	0.391170033
CN14	-6.186415	-50.129326	0.084861657	2.647665464	0.93450974	0.677172706
