	Aciotis_acuminifolia	Aeschynomene_americanavarglandulosa	Allobriquetia_spicata	Banisteriopsis_muricata	Bidens_bipinnata	Borreria_ocymifolia	Borreria_semiamplexicaule	Borreria_sp	Borreria_verticillata	Brasilianthus_carajensis	Byrsonima_chrysophylla	Caamembeca_spectabilis	Cantinoa_mutabilis	Cavalcantia_glomerata	Cenchrus_polystachios	Centella_asiatica	Chamaecrista_flexuosavarflexuosa	Chamaecrista_nictitanssubsppatellaria	Chamaecrista_trichopoda	Combretum_laxum	Croton_hadriani	Croton_sp	Cuphea_annulata	Cuphea_carthagenensis	Elephantopus_mollis	Fridericia_patellifera	Helicteres_brevispira	Helicteres_eitenii	Hildaea_pallens	Hyptis_atrorubens	Hyptis_recurvata	Ipomoea_carajasensis	Justicia_birae	Justicia_mcdadeana	Lantana_cujabensis	Lepidaploa_arenaria	Ludwigia_erecta	Mabea_angustifolia	Manihot_tristis	Marsypianthes_chamaedrys	Mesosphaerum_pectinatum	Mesosphaerum_suaveolens	Mimosa_acutistipula	Mimosa_debilis	Mimosa_pudicavarhispida	Mimosa_skinnerivarcarajarum	Mitreola_petiolata	Operculina_hamiltonii	Oxalis_barrelieri	Paspalum_virgatum	Passiflora_tholozanii	Peixotoa_reticulata	Periandra_coccinea	Piper_goeldii	Poaceae_sp1	Polygala_paniculata	Pterolepis_trichotoma	Rhynchanthera_hispida	Riencourtia_pedunculosa	Schultesia_benthamiana	Senegalia_multipinnata	Senna_pendula	Senna_quinquangulata	Serjania_confertiflora	Serjania_lethalis	Sida_rhombifolia	Sida_tuberculata	Sida_urens	Solanum_schlechtendalianum	Spigelia_flemmingiana	Stachytarpheta_cayennensis	Stylosanthes_capitata	Syngonanthus_discretifolius	Taquara_micrantha	Turnera_laciniata	Turnera_melochioides	Urochloa_decumbens	Vismia_gracilis	Xyris_brachysepala
CN01_col_1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CN01_col_2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CN01_col_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CN02_col_1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CN02_col_3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CN03_col_1	0	0	0	0	0	4	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
CN03_col_2	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CN03_col_3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
CN04_col_1	0	0	0	0	0	8	0	0	8	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CN04_col_2	0	6	0	2	1	5	0	0	4	0	0	0	0	0	4	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
