;d;Cor;Flower_simetry;Flower_shape;inflorescencia_type
Aciotis_acuminifolia;0.25389808;Branca;Radial;Dish;Dicasios
Aeschynomene_americanavarglandulosa;0.393010573;Rosa;Bilateral;Gullet;Racemos
Allobriquetia_spicata;0.247650034;Amarela;Radial;Bell;Racemos
Banisteriopsis_muricata;0.388337585;Rosa;Bilateral;Flag;Corimbos
Bidens_bipinnata;0.163695354;Amarela;Radial;Dish;Capitulos
Borreria_ocymifolia;0.196317732;Branca;Radial;Dish;Glomerulos
Borreria_semiamplexicaule;0.166259178;Roxa;Radial;Bell;Glomerulos
Borreria_sp;0.22995778;Branca;NA;NA;Glomerulos
Borreria_verticillata;0.330742;Branca;Radial;Dish;Glomerulos
Brasilianthus_carajensis;0;Roxa;Radial;Dish;Dicasios
Byrsonima_chrysophylla;0.284319637;Amarela;Bilateral;Flag;Racemos
Caamembeca_spectabilis;0.397008214;Rosa;Bilateral;Tube;Racemos
Cantinoa_mutabilis;0.138578945;Azul;Radial;Bell;Tirso
Cavalcantia_glomerata;0.20113702;Branca;Assimetrica;Brush;Capitulos
Cenchrus_polystachios;0.390214692;Vermelha;Assimetrica;Incospicuos;Panicula
Centella_asiatica;0.102133198;Rosa;Radial;Dish;Umbela
Chamaecrista_flexuosavarflexuosa;0.130863436;Amarela;Bilateral;Tube;Racemos
Chamaecrista_nictitanssubsppatellaria;0.116883848;Amarela;Bilateral;Tube;Racemos
Chamaecrista_trichopoda;0.090283394;Amarela;Bilateral;Tube;Racemos
Combretum_laxum;0.759305767;Branca;Assimetrica;Incospicuos;Panicula
Croton_hadriani;0.300974041;Branca;Assimetrica;Brush;Tirso
Croton_sp;0.237774261;Branca;Assimetrica;Brush;Tirso
Cuphea_annulata;0;Vermelha;Bilateral;Flag;Racemos
Cuphea_carthagenensis;0.180378247;Roxa;Bilateral;Flag;Racemos
Elephantopus_mollis;0.166000855;Branca;Radial;Dish;Capitulos
Fridericia_patellifera;0.614511901;Vermelha;Radial;Bell;Tirso
Helicteres_brevispira;0.166000855;Vermelha;Assimetrica;Tube;Racemos
Helicteres_eitenii;0.42352914;Vermelha;Radial;Tube;Racemos
Hildaea_pallens;0.247650034;Verde;Assimetrica;Incospicuos;Panicula
Hyptis_atrorubens;0.14732191;Branca;Radial;Incospicuos;Capitulos
Hyptis_recurvata;0.607444613;Branca;Assimetrica;Incospicuos;Tirso
Ipomoea_carajasensis;1;Rosa;Radial;Bell;Dicasios
Justicia_birae;0.42352914;Vermelha;Bilateral;Gullet;Espiga
Justicia_mcdadeana;0.514929004;Vermelha;Bilateral;Gullet;Panicula
Lantana_cujabensis;1;Amarela;Bilateral;Bell;Racemos
Lepidaploa_arenaria;0.45914447;Roxa;Radial;Bell;Capitulos
Ludwigia_erecta;0.590679193;Amarela;Radial;Dish;Solitary
Mabea_angustifolia;0.647389322;Vermelha;Assimetrica;Incospicuos;Tirso
Manihot_tristis;0.375314252;Branca;Assimetrica;Incospicuos;Racemos
Marsypianthes_chamaedrys;0.139989146;Roxa;Bilateral;Dish;Capitulos
Mesosphaerum_pectinatum;0.235550026;Roxa;Radial;Flag;Tirso
Mesosphaerum_suaveolens;0.270314033;Roxa;Bilateral;Flag;Tirso
Mimosa_acutistipula;0.893767638;Roxa;Radial;Brush;Racemos
Mimosa_debilis;0.336908966;Roxa;Assimetrica;Brush;Glomerulos
Mimosa_pudicavarhispida;0.449782352;Roxa;Assimetrica;Brush;Glomerulos
Mimosa_skinnerivarcarajarum;0.048318568;Roxa;Assimetrica;Brush;Racemos
Mitreola_petiolata;0.048318568;Branca;Radial;Bell;Dicasios
Operculina_hamiltonii;0.507001082;Amarela;Radial;Bell;Cimeira
Oxalis_barrelieri;0.225214921;Rosa;Radial;Bell;Cimeira
Paspalum_virgatum;0.454350773;Amarela;Assimetrica;Incospicuos;Panicula
Passiflora_tholozanii;0.607444613;Vermelha;Radial;Dish;Solitary
Peixotoa_reticulata;0.450539135;Amarela;Radial;Dish;Umbela
Periandra_coccinea;0.24177608;Vermelha;Bilateral;Gullet;Cimeira
Piper_goeldii;1;Branca;Assimetrica;Incospicuos;Espiga
Poaceae_sp1;0.384644643;NA;NA;Incospicuos;Panicula
Polygala_paniculata;0.314663956;Branca;Radial;Bell;Racemos
Pterolepis_trichotoma;0.187343963;Roxa;Radial;Dish;Dicasios
Rhynchanthera_hispida;0.696277693;Roxa;Radial;Dish;Tirso
Riencourtia_pedunculosa;0.118652115;Roxa;Radial;Bell;Capitulos
Schultesia_benthamiana;1;Amarela;Radial;Bell;Dicasios
Senegalia_multipinnata;0.666889122;Branca;Radial;Brush;Panicula
Senna_pendula;0.343329522;Amarela;Bilateral;Flag;Racemos
Senna_quinquangulata;0.741242838;Amarela;Bilateral;Flag;Racemos
Serjania_confertiflora;0.69670842;Branca;NA;NA;Tirso
Serjania_lethalis;0.411269995;Branca;Bilateral;Flag;Tirso
Sida_rhombifolia;0.607214873;Amarela;Radial;Dish;Solitary
Sida_tuberculata;0.191715713;Amarela;Radial;Dish;Solitary
Sida_urens;0.392555387;Amarela;Radial;Dish;Glomerulos
Solanum_schlechtendalianum;0.607493571;Branca;Radial;Dish;Cimeira
Spigelia_flemmingiana;0.166672089;Rosa;NA;NA;Cimeira
Stachytarpheta_cayennensis;0.50753706;Azul;Radial;Bell;Racemos
Stylosanthes_capitata;0.844379159;Amarela;Bilateral;Gullet;Racemos
