plant	Cor	Flower_simetry	Flower_shape	inflorescencia_type
Aciotis_acuminifolia	Branca	Radial	Dish	Dicasios
Aeschynomene_americanavarglandulosa	Rosa	Bilateral	Gullet	Racemos 
Allobriquetia_spicata	Amarela	Radial	Bell	Racemos 
Banisteriopsis_muricata	Rosa	Bilateral	Flag	Corimbos 
Bidens_bipinnata	Amarela	Radial	Dish	Capitulos
Borreria_ocymifolia	Branca	Radial	Dish	Glomerulos 
Borreria_semiamplexicaule	Roxa	Radial	Bell	Glomerulos 
Borreria_sp	Branca	NA	NA	Glomerulos 
Borreria_verticillata	Branca	Radial	Dish	Glomerulos 
Brasilianthus_carajensis	Roxa	Radial	Dish	Dicasios
Byrsonima_chrysophylla	Amarela	Bilateral	Flag	Racemos 
Caamembeca_spectabilis	Rosa	Bilateral	Tube	Racemos 
Cantinoa_mutabilis	Azul	Radial	Bell	Tirso
Cavalcantia_glomerata	Branca	Assimetrica	Brush	Capitulos
Cenchrus_polystachios	Vermelha	Assimetrica	Incospicuos	Panicula
Centella_asiatica	Rosa	Radial	Dish	Umbela
Chamaecrista_flexuosavarflexuosa	Amarela	Bilateral	Tube	Racemos 
Chamaecrista_nictitanssubsppatellaria	Amarela	Bilateral	Tube	Racemos 
Chamaecrista_trichopoda	Amarela	Bilateral	Tube	Racemos 
Combretum_laxum	Branca	Assimetrica	Incospicuos	Panicula
Croton_hadriani	Branca	Assimetrica	Brush	Tirso
Croton_sp	Branca	Assimetrica	Brush	Tirso
Cuphea_annulata	Vermelha	Bilateral	Flag	Racemos 
Cuphea_carthagenensis	Roxa	Bilateral	Flag	Racemos 
Elephantopus_mollis	Branca	Radial	Dish	Capitulos
Fridericia_patellifera	Vermelha	Radial	Bell	Tirso
Helicteres_brevispira	Vermelha	Assimetrica	Tube	Racemos 
Helicteres_eitenii	Vermelha	Radial	Tube	Racemos 
Hildaea_pallens	Verde	Assimetrica	Incospicuos	Panicula
Hyptis_atrorubens	Branca	Radial	Incospicuos	Capitulos
Hyptis_recurvata	Branca	Assimetrica	Incospicuos	Tirso
Ipomoea_carajasensis	Rosa	Radial	Bell	Dicasios
Justicia_birae	Vermelha	Bilateral	Gullet	Espiga
Justicia_mcdadeana	Vermelha	Bilateral	Gullet	Panicula
Lantana_cujabensis	Amarela	Bilateral	Bell	Racemos 
Lepidaploa_arenaria	Roxa	Radial	Bell	Capitulos
Ludwigia_erecta	Amarela	Radial	Dish	Solitary
Mabea_angustifolia	Vermelha	Assimetrica	Incospicuos	Tirso
Manihot_tristis	Branca	Assimetrica	Incospicuos	Racemos 
Marsypianthes_chamaedrys	Roxa	Bilateral	Dish	Capitulos
Mesosphaerum_pectinatum	Roxa	Radial	Flag	Tirso
Mesosphaerum_suaveolens	Roxa	Bilateral	Flag	Tirso
Mimosa_acutistipula	Roxa	Radial	Brush	Racemos 
Mimosa_debilis	Roxa	Assimetrica	Brush	Glomerulos 
Mimosa_pudicavarhispida	Roxa	Assimetrica	Brush	Glomerulos 
Mimosa_skinnerivarcarajarum	Roxa	Assimetrica	Brush	Racemos 
Mitreola_petiolata	Branca	Radial	Bell	Dicasios
Operculina_hamiltonii	Amarela	Radial	Bell	Cimeira
Oxalis_barrelieri	Rosa	Radial	Bell	Cimeira
Paspalum_virgatum	Amarela	Assimetrica	Incospicuos	Panicula
Passiflora_tholozanii	Vermelha	Radial	Dish	Solitary
Peixotoa_reticulata	Amarela	Radial	Dish	Umbela
Periandra_coccinea	Vermelha	Bilateral	Gullet	Cimeira
Piper_goeldii	Branca	Assimetrica	Incospicuos	Espiga
Poaceae_sp1	NA	NA	Incospicuos	Panicula
Polygala_paniculata	Branca	Radial	Bell	Racemos 
Pterolepis_trichotoma	Roxa	Radial	Dish	Dicasios
Rhynchanthera_hispida	Roxa	Radial	Dish	Tirso
Riencourtia_pedunculosa	Roxa	Radial	Bell	Capitulos
Schultesia_benthamiana	Amarela	Radial	Bell	Dicasios
Senegalia_multipinnata	Branca	Radial	Brush	Panicula
Senna_pendula	Amarela	Bilateral	Flag	Racemos 
Senna_quinquangulata	Amarela	Bilateral	Flag	Racemos 
Serjania_confertiflora	Branca	NA	NA	Tirso
Serjania_lethalis	Branca	Bilateral	Flag	Tirso
Sida_rhombifolia	Amarela	Radial	Dish	Solitary
Sida_tuberculata	Amarela	Radial	Dish	Solitary
Sida_urens	Amarela	Radial	Dish	Glomerulos 
Solanum_schlechtendalianum	Branca	Radial	Dish	Cimeira
Spigelia_flemmingiana	Rosa	NA	NA	Cimeira
Stachytarpheta_cayennensis	Azul	Radial	Bell	Racemos 
Stylosanthes_capitata	Amarela	Bilateral	Gullet	Racemos 
Syngonanthus_discretifolius	Branca	Assimetrica	Incospicuos	Capitulos
Taquara_micrantha	Verde	Assimetrica	Incospicuos	Panicula
Turnera_laciniata	Amarela	Radial	Dish	Glomerulos 
Turnera_melochioides	Amarela	Radial	Dish	Racemos 
Urochloa_decumbens	Verde	Assimetrica	Incospicuos	Panicula
Vismia_gracilis	Amarela	Radial	Dish	Racemos 
Xyris_brachysepala	Amarela	Radial	Dish	Espiga
